City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
285,Honningsvag,NO,70.98,25.97,41.0,93,75,6.93,broken clouds
286,Bairiki,KI,1.33,172.98,86.0,66,40,6.93,scattered clouds
287,Tilichiki,RU,60.47,166.1,25.11,94,100,13.18,overcast clouds
288,Luderitz,NA,-26.65,15.16,59.79,88,79,7.83,broken clouds
289,Bata,GQ,1.86,9.77,77.54,90,100,4.52,overcast clouds
290,Warrnambool,AU,-38.38,142.48,54.0,87,100,4.0,overcast clouds
291,Bati,ET,11.18,40.02,62.92,50,0,3.09,clear sky
292,Longyearbyen,SJ,78.22,15.64,37.4,74,40,17.22,scattered clouds
293,Clyde River,CA,70.47,-68.59,-2.2,64,40,20.8,scattered clouds
294,Tasiilaq,GL,65.61,-37.64,28.4,74,98,4.7,overcast clouds
295,Envira,BR,-7.3,-70.22,83.39,66,94,4.85,light rain
296,Williams Lake,CA,52.14,-122.14,44.6,33,75,5.82,broken clouds
297,La Ronge,CA,55.1,-105.28,17.6,85,100,12.75,snow
298,Tomatlan,MX,19.93,-105.25,86.31,61,14,4.97,few clouds
299,Bodden Town,KY,19.28,-81.25,79.0,88,90,9.17,overcast clouds
300,Nemuro,JP,43.32,145.57,51.17,65,10,22.55,clear sky
301,Porto Novo,BJ,6.5,2.6,84.2,83,40,8.05,scattered clouds
302,Ankang,CN,32.68,109.02,53.98,78,76,0.34,broken clouds
303,Ordzhonikidze,KZ,52.44,61.74,46.45,67,99,9.31,overcast clouds
304,Palu,ID,-0.89,119.87,75.45,79,100,2.84,overcast clouds
305,Vredendal,ZA,-31.67,18.5,61.81,83,100,8.72,light rain
306,Pacific Grove,US,36.62,-121.92,81.0,72,1,4.7,clear sky
307,Meybod,IR,32.25,54.02,51.8,20,0,2.24,clear sky
308,Vanavara,RU,60.34,102.28,9.12,94,100,12.97,light snow
309,Qaqortoq,GL,60.72,-46.03,17.6,44,2,1.12,clear sky
310,Yibin,CN,28.77,104.62,58.62,77,98,1.34,light rain
311,Padang,ID,-0.95,100.35,77.9,76,100,3.69,moderate rain
312,Ternate,ID,0.8,127.4,81.46,76,95,2.46,overcast clouds
313,Port Hedland,AU,-20.32,118.57,73.4,78,1,11.41,clear sky
314,Palauig,PH,15.44,119.9,79.32,76,100,3.4,overcast clouds
315,Coquimbo,CL,-29.95,-71.34,60.8,72,0,11.41,clear sky
316,Beloha,MG,-25.17,45.05,66.58,90,100,3.22,overcast clouds
