City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Alexandria,EG,70.05,broken clouds,31.22,29.96,Royal Crown Hotel
494,Celestun,MX,80.58,overcast clouds,20.87,-90.4,Posada Lilia
497,North Platte,US,78.8,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
500,Havelock,US,71.01,scattered clouds,34.88,-76.9,Sherwood Motel
501,Kralendijk,BQ,84.2,few clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
502,Lae,PG,79.34,overcast clouds,-6.72,146.98,Phils Hotel
509,Nijar,ES,71.01,clear sky,36.97,-2.21,La Casa del Cine
510,Guerrero Negro,MX,87.51,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
511,Caravelas,BR,72.95,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
513,Soe,ID,70.11,clear sky,-9.86,124.28,Dena Hotel
514,Chirongui,YT,75.2,clear sky,-12.93,45.15,La Villa Mahatsara
517,Pauini,BR,84.27,overcast clouds,-7.71,-66.98,Casa do Kiwliks
524,Tarauaca,BR,86.16,overcast clouds,-8.16,-70.77,Flat Temporada
526,Kimbe,PG,81.21,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
530,Nabire,ID,77.4,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
531,Cururupu,BR,79.16,light rain,-1.83,-44.87,Pousada Través'cia
533,Katobu,ID,76.73,clear sky,-4.94,122.53,La Ode Husein
537,Lazaro Cardenas,MX,83.35,scattered clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
538,Lagunas,PE,92.32,overcast clouds,-5.23,-75.68,Hospedaje Eco
540,Ranong,TH,76.53,few clouds,9.97,98.63,Tinidee Hotel@Ranong
546,Acari,PE,71.56,clear sky,-15.43,-74.62,Hospedaje Ximens
547,La Asuncion,VE,80.17,clear sky,11.03,-63.86,Colinas de Matasiete
555,Mitsamiouli,KM,78.15,clear sky,-11.38,43.28,Foyer ADM
556,Auki,SB,84.83,light rain,-8.77,160.7,Auki Motel
557,Pombas,CV,78.8,scattered clouds,17.15,-25.02,POUSADA O RECANTO
558,Tuy Hoa,VN,74.32,moderate rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
561,Port Blair,IN,80.69,clear sky,11.67,92.75,Fortune Resort Bay Island
562,Champerico,GT,77.0,light intensity drizzle,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
